n,k,delta,u,log_equation_residual
800,0,0.05,0.005622066107245245,9.31240872956909e-16
800,0,6.25e-05,0.015099688652402347,6.419194785056752e-16
800,1,0.05,0.008530482397967741,-4.2904660335602425e-15
800,1,6.25e-05,0.018711792287258285,3.4249731025966166e-17
800,2,0.05,0.011011274309135075,-2.769271041897766e-13
800,2,6.25e-05,0.02176080828408929,3.4297205497845514e-15
800,5,0.05,0.017499240693162513,5.007647499223021e-16
800,5,6.25e-05,0.0295688761829446,-1.0485890892116722e-13
800,23,0.05,0.04925376343702443,2.1059330149849242e-15
800,23,6.25e-05,0.06578189907261499,-4.0345644965998455e-14
800,100,0.05,0.16380425227698328,-6.453165397925752e-14
800,100,6.25e-05,0.1881365032921975,-1.4762119890430001e-13
8000,0,0.05,0.0005640352801931491,1.0768274359906137e-15
8000,0,6.25e-06,0.0018317774760625387,-9.936602941353369e-17
8000,1,0.05,0.0008563346705762412,2.0591422972986308e-15
8000,1,6.25e-06,0.002214280383893411,9.500029194047937e-14
8000,2,0.05,0.0011058863373301817,-1.5518862007131922e-13
8000,2,6.25e-06,0.002537617329239981,-3.604935280031705e-16
8000,5,0.05,0.0017593845986221773,1.4855788464845206e-15
8000,5,6.25e-06,0.0033654588891664857,2.7032255091491902e-15
8000,23,0.05,0.004971355684949663,1.9071075162398503e-15
8000,23,6.25e-06,0.007197230071811564,8.183662461945755e-15
8000,100,0.05,0.016686004965900978,7.553054366038957e-15
8000,100,6.25e-06,0.020201946983222755,9.249015507305439e-14
100000,0,0.05,4.513782083348717e-05,1.4316340953349062e-15
100000,0,5e-07,0.00017361399843999976,4.550487615976932e-15
100000,1,0.05,6.853373317694255e-05,-1.5800984935739333e-14
100000,1,5e-07,0.00020552739422173146,1.8858788849706118e-14
100000,2,0.05,8.850994747924341e-05,-1.5561785426912778e-13
100000,2,5e-07,0.00023252499807046225,-4.3950192078237963e-13
100000,5,0.05,0.00014082836662899028,2.1125693180111368e-14
100000,5,5e-07,0.0003015641140716048,6.03743970887175e-15
100000,23,0.05,0.000398084379920011,-1.4726635211988744e-15
100000,23,5e-07,0.0006191144397010693,9.293679280361845e-15
100000,100,0.05,0.0013373263890580145,2.2346449307372318e-14
100000,100,5e-07,0.0016866633880450262,3.1016947957490315e-13
100000000,0,0.05,4.513912412553429e-08,2.6867504394869953e-16
100000000,0,5e-10,2.4619967799674566e-07,9.202969070985385e-15
100000000,1,0.05,6.853607587512913e-08,-4.219744125358137e-11
100000000,1,5e-10,2.8087024790966806e-07,2.739740496830543e-15
100000000,2,0.05,8.851333999178555e-08,4.611429310783026e-13
100000000,2,5e-10,3.102792439137711e-07,1.4592565161608077e-14
100000000,5,0.05,1.40835109640526e-07,-2.371148779752701e-11
100000000,5,5e-10,3.853892889954033e-07,1.4286645902397616e-14
100000000,23,0.05,3.981170358051591e-07,6.278436442206816e-12
100000000,23,5e-10,7.2673005163962e-07,-2.4426192134755783e-15
100000000,100,0.05,1.3375384410025817e-06,-1.2510343316775162e-14
100000000,100,5e-10,1.8485223799366735e-06,4.1468417266178436e-13
1000000000000,0,0.05,4.513912543003139e-12,1.0669396604241207e-16
1000000000000,0,5e-14,3.415774267468452e-11,2.865157016865643e-13
1000000000000,1,0.05,6.853607822058716e-12,-1.6558053753626421e-15
1000000000000,1,5e-14,3.789646928699087e-11,5.708299654644389e-15
1000000000000,2,0.05,8.8513343387432e-12,-1.4297234994760203e-13
1000000000000,2,5e-14,4.1080183784790357e-11,7.627155147884228e-15
1000000000000,5,0.05,1.4083511639018699e-11,9.673148165442077e-16
1000000000000,5,5e-14,4.9216654021255336e-11,2.74461166552985e-13
1000000000000,23,0.05,3.98117068490262e-11,-4.750729233148282e-15
1000000000000,23,5e-14,8.589512864697463e-11,-1.1100991393475284e-13
1000000000000,100,0.05,1.3375386532113564e-10,6.193950863861842e-14
1000000000000,100,5e-14,2.0403465177652632e-10,9.333976883289698e-15
