n,k,n_GC22,n_revised,n_original,ratio_revised,ratio_original
1.000000000000000000e+05,1.000000000000000000e+00,7.799070633151721665e+00,1.814464835296653078e+01,1.729707925915482392e+01,2.326514171552515720e+00,2.217838518557539107e+00
1.000000000000000000e+05,2.000000000000000000e+00,9.864248801526967370e+00,2.138364321847749139e+01,2.116680219496537418e+01,2.167792362979261256e+00,2.145809845316228426e+00
1.000000000000000000e+05,4.000000000000000000e+00,1.354050454954060356e+01,2.694537897527079551e+01,2.859102560180405561e+01,1.989983377405606824e+00,2.111518481249953005e+00
1.000000000000000000e+05,5.000000000000000000e+00,1.524988369538088406e+01,2.977746602727020075e+01,3.110755963944959746e+01,1.952635614938470043e+00,2.039855533381669250e+00
1.000000000000000000e+05,8.000000000000000000e+00,2.008439362383866822e+01,3.739123246885016272e+01,3.886806760376729386e+01,1.861705818415626768e+00,1.935237295769478116e+00
1.000000000000000000e+05,1.600000000000000000e+01,3.185959595983478465e+01,5.578197296581092957e+01,5.679291428504834727e+01,1.750868813155538772e+00,1.782599953767362910e+00
1.000000000000000000e+05,2.300000000000000000e+01,4.149550137698903285e+01,6.863041278218399555e+01,7.037643062684051642e+01,1.653924172615067967e+00,1.696001452963938450e+00
1.000000000000000000e+05,3.200000000000000000e+01,5.339288169371010895e+01,8.389814414747959859e+01,8.636158669509904939e+01,1.571335756492107993e+00,1.617473789680708984e+00
1.000000000000000000e+05,5.000000000000000000e+01,7.623008422879398438e+01,1.137148251295835166e+02,1.162452533411460252e+02,1.491731594947269146e+00,1.524926208821337115e+00
1.000000000000000000e+05,6.400000000000000000e+01,9.344972731495184348e+01,1.339740654196170055e+02,1.379728419475395071e+02,1.433648543115452645e+00,1.476439214022875035e+00
1.000000000000000000e+05,1.000000000000000000e+02,1.364713847616627618e+02,1.870261372176244663e+02,1.909125535674887146e+02,1.370442144660962036e+00,1.398920029286017996e+00
1.000000000000000000e+05,1.280000000000000000e+02,1.691387365345564149e+02,2.246436260144203629e+02,2.300609922231164717e+02,1.328161901981121940e+00,1.360191029782897187e+00
1.000000000000000000e+05,2.560000000000000000e+02,3.140564208216980546e+02,3.918572665946294364e+02,3.983812054840625478e+02,1.247728881228961972e+00,1.268502024068595357e+00
