n,k_hull,risk_hull,U_hull,U_per_time,k_box,risk_box,U_box
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.163331227302905502e-01,1.000000000000000000e+00
2.000000000000000000e+00,2.000000000000000000e+00,8.347334439752884805e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,6.529364331651508202e-01,1.000000000000000000e+00
3.000000000000000000e+00,3.000000000000000000e+00,7.113215097331647696e-01,1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,5.118395376903305261e-01,1.000000000000000000e+00
4.000000000000000000e+00,4.000000000000000000e+00,6.486964883235233348e-01,1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,4.563585153858809029e-01,9.996145077761761089e-01
5.000000000000000000e+00,4.000000000000000000e+00,6.486964883235233348e-01,9.999641190279577874e-01,9.999940867942216371e-01,3.000000000000000000e+00,4.563585153858809029e-01,9.912225126567535405e-01
6.000000000000000000e+00,5.000000000000000000e+00,4.838042350199275310e-01,9.999798712388936472e-01,9.999976236152199327e-01,3.000000000000000000e+00,3.003296969023205865e-01,9.712615714474425177e-01
7.000000000000000000e+00,5.000000000000000000e+00,4.838042350199275310e-01,9.983074874959499967e-01,9.992937189249461172e-01,3.000000000000000000e+00,3.003296969023205865e-01,9.446913383666931674e-01
8.000000000000000000e+00,6.000000000000000000e+00,4.085888337844422180e-01,9.987589371523172277e-01,9.995412569850935514e-01,3.000000000000000000e+00,2.550804265907344881e-01,9.154060076308604410e-01
9.000000000000000000e+00,7.000000000000000000e+00,3.813639085340170265e-01,9.990513991814554684e-01,9.996853318691879542e-01,4.000000000000000000e+00,2.274516295987849546e-01,9.287529314216352860e-01
1.000000000000000000e+01,7.000000000000000000e+00,3.813639085340170265e-01,9.945071761834861634e-01,9.971130632782306824e-01,4.000000000000000000e+00,2.274516295987849546e-01,9.287529314216352860e-01
1.100000000000000000e+01,8.000000000000000000e+00,3.499930820353073235e-01,9.954577057886141445e-01,9.977476309019021050e-01,4.000000000000000000e+00,2.027629185912517285e-01,8.725943286024753220e-01
1.200000000000000000e+01,8.000000000000000000e+00,3.499930820353073235e-01,9.878927652710464136e-01,9.924784893269987807e-01,4.000000000000000000e+00,2.027629185912517285e-01,8.474955355172303362e-01
1.300000000000000000e+01,8.000000000000000000e+00,3.499930820353073235e-01,9.772402921369427453e-01,9.839990949247255925e-01,4.000000000000000000e+00,2.027629185912517285e-01,8.474955355172303362e-01
1.400000000000000000e+01,9.000000000000000000e+00,3.399161727361974528e-01,9.800808976093412506e-01,9.863670270197579804e-01,4.000000000000000000e+00,2.010215418700976864e-01,7.964976969343708912e-01
1.500000000000000000e+01,9.000000000000000000e+00,3.399161727361974528e-01,9.800808976093412506e-01,9.766018743379646372e-01,4.000000000000000000e+00,2.010215418700976864e-01,7.964976969343708912e-01
1.600000000000000000e+01,9.000000000000000000e+00,3.399161727361974528e-01,9.541523122469538487e-01,9.650973705622784005e-01,4.000000000000000000e+00,2.010215418700976864e-01,7.464670045367257645e-01
1.700000000000000000e+01,1.000000000000000000e+01,3.283365983986613612e-01,9.587121291117672861e-01,9.690551888597008778e-01,4.000000000000000000e+00,2.010215418700976864e-01,7.464670045367257645e-01
1.800000000000000000e+01,1.000000000000000000e+01,3.175459327877643290e-01,9.459269450688624348e-01,9.574366652960638602e-01,4.000000000000000000e+00,2.010215418700976864e-01,7.026227221545459090e-01
1.900000000000000000e+01,1.000000000000000000e+01,3.175459327877643290e-01,9.326262499546732476e-01,9.450344966215433740e-01,4.000000000000000000e+00,2.010215418700976864e-01,7.026227221545459090e-01
2.000000000000000000e+01,1.000000000000000000e+01,3.175459327877643290e-01,9.326262499546732476e-01,9.321542090038371642e-01,4.000000000000000000e+00,2.010215418700976864e-01,6.638820580808443284e-01
2.100000000000000000e+01,1.100000000000000000e+01,3.161501636136434534e-01,9.382367702051731539e-01,9.381065520166210758e-01,4.000000000000000000e+00,1.999267158738006200e-01,6.638820580808443284e-01
2.200000000000000000e+01,1.000000000000000000e+01,2.774763646367257586e-01,8.886675529728206291e-01,9.054996344715907641e-01,4.000000000000000000e+00,1.584401070267396072e-01,6.638820580808443284e-01
2.300000000000000000e+01,1.100000000000000000e+01,2.770598567406510337e-01,8.968113313493655259e-01,9.130305428902322218e-01,4.000000000000000000e+00,1.584401070267396072e-01,6.096676098537483490e-01
2.400000000000000000e+01,1.200000000000000000e+01,2.754120307469817286e-01,9.038984232216905612e-01,9.195586065374180551e-01,4.000000000000000000e+00,1.584401070267396072e-01,6.096676098537483490e-01
2.500000000000000000e+01,1.200000000000000000e+01,2.716729970702992381e-01,8.906497051640608342e-01,9.066598623106666421e-01,4.000000000000000000e+00,1.584401070267396072e-01,6.096676098537483490e-01
2.600000000000000000e+01,1.300000000000000000e+01,2.693091924187114294e-01,8.974943687074913301e-01,9.130115369935724035e-01,4.000000000000000000e+00,1.584401070267396072e-01,5.642978085039845881e-01
2.700000000000000000e+01,1.100000000000000000e+01,2.464205786513954388e-01,8.545543797609556069e-01,8.596204699928237103e-01,4.000000000000000000e+00,1.463703198594241695e-01,5.642978085039845881e-01
2.800000000000000000e+01,1.100000000000000000e+01,2.464205786513954388e-01,8.263246206652342662e-01,8.468635077947171963e-01,4.000000000000000000e+00,1.463703198594241695e-01,5.642978085039845881e-01
2.900000000000000000e+01,1.100000000000000000e+01,2.464205786513954388e-01,8.263246206652342662e-01,8.336451601877542528e-01,4.000000000000000000e+00,1.463703198594241695e-01,5.245183936919631806e-01
3.000000000000000000e+01,1.100000000000000000e+01,2.464205786513954388e-01,7.992918410809136676e-01,8.207512846793264538e-01,4.000000000000000000e+00,1.463703198594241695e-01,5.245183936919631806e-01
3.100000000000000000e+01,1.100000000000000000e+01,2.464205786513954388e-01,7.992918410809136676e-01,8.082327407625770066e-01,4.000000000000000000e+00,1.463703198594241695e-01,5.245183936919631806e-01
3.200000000000000000e+01,1.100000000000000000e+01,2.464205786513954388e-01,7.733732709113713133e-01,7.960875020720846740e-01,4.000000000000000000e+00,1.463703198594241695e-01,4.903559715106241002e-01
3.300000000000000000e+01,1.100000000000000000e+01,2.464205786513954388e-01,7.733732709113713133e-01,7.842354786493360708e-01,4.000000000000000000e+00,1.463703198594241695e-01,4.903559715106241002e-01
3.400000000000000000e+01,1.100000000000000000e+01,2.464205786513954388e-01,7.485558403840196773e-01,7.722297593155328377e-01,4.000000000000000000e+00,1.463703198594241695e-01,4.903559715106241002e-01
3.500000000000000000e+01,1.100000000000000000e+01,2.464205786513954388e-01,7.485558403840196773e-01,7.606184398168386318e-01,4.000000000000000000e+00,1.463703198594241695e-01,4.903559715106241002e-01
3.600000000000000000e+01,1.100000000000000000e+01,2.464205786513954388e-01,7.251139765529058812e-01,7.493871559332420107e-01,4.000000000000000000e+00,1.463703198594241695e-01,4.504843110560097785e-01
3.700000000000000000e+01,1.100000000000000000e+01,2.464205786513954388e-01,7.251139765529058812e-01,7.385210111090325658e-01,4.000000000000000000e+00,1.463703198594241695e-01,4.504843110560097785e-01
3.800000000000000000e+01,1.100000000000000000e+01,2.397914303557644455e-01,7.251139765529058812e-01,7.277709155325490231e-01,4.000000000000000000e+00,1.463703198594241695e-01,4.504843110560097785e-01
3.900000000000000000e+01,1.100000000000000000e+01,2.397914303557644455e-01,6.915502590381140680e-01,7.171587642975482124e-01,4.000000000000000000e+00,1.463703198594241695e-01,4.504843110560097785e-01
4.000000000000000000e+01,1.100000000000000000e+01,2.397914303557644455e-01,6.915502590381140680e-01,7.069006154948618281e-01,4.000000000000000000e+00,1.463703198594241695e-01,4.504843110560097785e-01
4.100000000000000000e+01,1.100000000000000000e+01,2.397914303557644455e-01,6.708149144136882347e-01,6.969797668529106316e-01,4.000000000000000000e+00,1.463703198594241695e-01,4.085566037101793224e-01
4.200000000000000000e+01,1.100000000000000000e+01,2.397914303557644455e-01,6.708149144136882347e-01,6.873756224042114615e-01,4.000000000000000000e+00,1.463703198594241695e-01,4.085566037101793224e-01
4.300000000000000000e+01,1.100000000000000000e+01,2.397914303557644455e-01,6.708149144136882347e-01,6.777327400914039401e-01,4.000000000000000000e+00,1.463703198594241695e-01,4.085566037101793224e-01
4.400000000000000000e+01,1.100000000000000000e+01,2.397914303557644455e-01,6.415158878279642041e-01,6.684075468245379570e-01,4.000000000000000000e+00,1.463703198594241695e-01,4.085566037101793224e-01
4.500000000000000000e+01,1.100000000000000000e+01,2.397914303557644455e-01,6.415158878279642041e-01,6.593842624998941249e-01,4.000000000000000000e+00,1.463703198594241695e-01,4.085566037101793224e-01
4.600000000000000000e+01,1.100000000000000000e+01,2.397914303557644455e-01,6.415158878279642041e-01,6.506480229082880484e-01,4.000000000000000000e+00,1.463703198594241695e-01,3.738709542195231550e-01
4.700000000000000000e+01,1.100000000000000000e+01,2.397914303557644455e-01,6.144148938323016340e-01,6.420212223401291496e-01,4.000000000000000000e+00,1.463703198594241695e-01,3.738709542195231550e-01
4.800000000000000000e+01,1.100000000000000000e+01,2.397914303557644455e-01,6.144148938323016340e-01,6.335517516775149849e-01,4.000000000000000000e+00,1.463703198594241695e-01,3.738709542195231550e-01
4.900000000000000000e+01,1.200000000000000000e+01,2.234429306488763256e-01,6.208059768387163002e-01,6.474973315256717932e-01,4.000000000000000000e+00,1.016652018123020973e-01,3.738709542195231550e-01
5.000000000000000000e+01,1.200000000000000000e+01,2.234429306488763256e-01,6.208059768387163002e-01,6.393876150107250522e-01,4.000000000000000000e+00,1.016652018123020973e-01,3.738709542195231550e-01
