n,k,n_GC22,n_localized_fixed,n_original_anytime,n_revised_anytime,ratio_to_GC22,ratio_to_own_fixed
1000,2,9.821819537963712,11.066149488442633,20.4075636194917,18.922971837490117,1.9266258929262796,1.7099870065240907
3425,2,9.852139431769418,11.105839926877406,20.824537603158383,19.172199575495103,1.9459935284383028,1.7263169379108536
3425,23,41.3887923217847,51.08097009198248,68.47937199340677,66.23565644707449,1.6003283191283602,1.2966796896731343
10000,2,9.860381565764987,11.116632491872272,20.50346464440395,19.34376263767774,1.961766135383526,1.7400739524150493
10000,5,15.242463533945928,18.64860918540126,30.887664409564984,28.60358463773237,1.876572285971384,1.5338186538931917
10000,23,41.46143823462574,51.22498914303267,69.31815921156928,66.22756480275231,1.5973291719399063,1.2928761120442365
10000,50,76.14324937516723,91.4650537933345,115.09347482598386,112.21053452878998,1.4736767270846922,1.226813191214318
100000,2,9.864248801526967,11.121696866736997,21.166802194965374,21.38364321847749,2.1677923629792613,1.9226961024654554
100000,5,15.249883695380884,18.660917121501384,31.107559639449597,29.7774660272702,1.95263561493847,1.5957128919971553
100000,23,41.49550137698903,51.29259464426369,70.37643062684052,68.630412782184,1.653924172615068,1.338017958696876
100000,50,76.23008422879398,91.64097162575703,116.24525334114603,113.71482512958352,1.4917315949472691,1.2408731936406305
100000,100,136.47138476166276,159.21325775316194,190.91255356748871,187.02613721762447,1.370442144660962,1.1746894690615686
