replicate,terminal_k,terminal_risk,CG23,Anytime,Finite horizon,Summable CG23
0,2,0.00019896513861395671,0,0,0,0
1,2,0.0003793085071570857,0,0,0,0
2,2,0.00026058027734972603,0,0,0,0
3,2,0.0001299250228879189,0,0,0,0
4,1,0.0005940750550836289,3650,0,0,0
5,2,0.0001290575450547753,0,0,0,0
6,1,0.00025823428886627913,0,0,0,0
7,1,7.384014187043333e-05,0,0,0,0
8,1,2.0321672311913905e-05,0,0,0,0
9,2,0.0002814730475047735,0,0,0,0
10,2,0.00024374791047496798,148,0,0,0
11,2,0.00019747097502628401,0,0,0,0
12,2,0.0004616232610146963,0,0,0,0
13,2,0.00015822523611333736,0,0,0,0
14,2,0.0004095098203194576,0,0,0,0
15,1,0.00037760181446872064,0,0,0,0
16,2,1.010156829174126e-05,0,0,0,0
17,2,0.0005336867020575464,262,0,0,0
18,2,0.00039564820427093585,0,0,0,0
19,1,1.9598458468825934e-05,0,0,0,0
20,2,0.0002899083603706255,437,0,0,0
21,2,0.0001048521548622669,0,0,0,0
22,2,0.00034929617341507676,0,0,0,0
23,2,0.00038741287912348187,0,0,0,0
24,2,0.00019653759460344023,0,0,0,0
25,2,0.00020491572747587358,0,0,0,0
26,1,8.545356618690524e-05,0,0,0,0
27,2,0.00017659672175725604,0,0,0,0
28,2,7.686582811007809e-05,0,0,0,0
29,1,0.00010277398213585363,0,0,0,0
30,2,0.00016540451432127924,0,0,0,0
31,2,0.0007955934911873201,0,0,0,0
32,2,0.00019473466458001158,0,0,0,0
33,2,0.00019629075916869306,0,0,0,0
34,2,0.00018399220234097732,0,0,0,0
35,2,6.156819675343999e-05,69,0,0,0
36,2,0.0003271517725754881,0,0,0,0
37,2,0.0002714462192911815,17,0,0,0
38,2,5.2749786283468727e-05,0,0,0,0
39,2,0.000246391120965185,0,0,0,0
40,2,0.00011130147496581395,0,0,0,0
41,2,7.471193671836581e-05,0,0,0,0
42,2,0.0001832327473176252,0,0,0,0
43,2,0.00029876611309985777,0,0,0,0
44,2,0.00012204645483016103,0,0,0,0
45,1,0.00043816343560741785,0,0,0,0
46,2,0.0006384311405688831,0,0,0,0
47,2,0.00013178452012773263,0,0,0,0
48,2,0.0001988759147342264,0,0,0,0
49,2,0.00024485410761995014,0,0,0,0
50,2,6.632260557469315e-05,0,0,0,0
51,2,6.112671648164265e-05,0,0,0,0
52,2,0.00014735419557537917,0,0,0,0
53,1,0.0001282013563987071,0,0,0,0
54,2,0.0001257557116675153,0,0,0,0
55,2,0.00031968339471571657,0,0,0,0
56,2,0.00047322470724733395,0,0,0,0
57,2,7.61860204127383e-05,0,0,0,0
58,2,0.0001802058685449354,0,0,0,0
59,2,0.0002788397319878546,0,0,0,0
60,2,0.0006026660921809437,0,0,0,0
61,2,0.00018156440686269425,0,0,0,0
62,2,0.000390145419816463,0,0,0,0
63,2,0.00033214862706811997,0,0,0,0
64,2,7.118328692150495e-05,0,0,0,0
65,2,0.00041884557645961696,0,0,0,0
66,2,0.0009405140432756803,0,0,0,0
67,2,0.00024108388581994196,0,0,0,0
68,2,0.00025235538857902237,0,0,0,0
69,2,0.00021207760178068943,0,0,0,0
70,2,0.00014896274364591228,0,0,0,0
71,2,0.0002223208772201912,0,0,0,0
72,2,0.0001303166223023513,0,0,0,0
73,2,0.00027587130442234634,0,0,0,0
74,1,2.8506107195959887e-05,0,0,0,0
75,2,0.00038958237412984833,2819,0,0,0
76,2,0.00027175467524456564,0,0,0,0
77,2,0.00036078080425828437,0,0,0,0
78,2,0.00017716358139379328,0,0,0,0
79,2,0.00021985365043145143,0,0,0,0
80,2,7.45291869569718e-06,0,0,0,0
81,2,0.0003345323063056135,0,0,0,0
82,2,0.0002882571082709989,0,0,0,0
83,1,0.0003192707000006586,0,0,0,0
84,2,0.0002992363772516458,0,0,0,0
85,2,5.593479797836534e-05,0,0,0,0
86,2,0.0002441740570909632,0,0,0,0
87,2,0.00025201870298018157,0,0,0,0
88,2,0.0004653456994990982,0,0,0,0
89,1,0.00033964262488158075,0,0,0,0
90,2,0.0003302868587891087,0,0,0,0
91,2,0.00031949930817832503,0,0,0,0
92,2,0.00019186611116906685,0,0,0,0
93,2,0.00025957208394850127,0,0,0,0
94,2,0.00010634171594856725,0,0,0,0
95,2,0.0002758109713335746,0,0,0,0
96,2,0.00014639484622426565,0,0,0,0
97,2,8.287001006340205e-05,0,0,0,0
98,2,0.00026851392133024594,0,0,0,0
99,2,0.00016017043142117356,0,0,0,0
100,2,0.00020432156203552845,0,0,0,0
101,1,0.00016571211885382502,0,0,0,0
102,2,6.287953245646557e-05,0,0,0,0
103,2,0.00012912761965873246,21,0,0,0
104,2,0.000506887243371326,0,0,0,0
105,2,0.0001259982926642275,0,0,0,0
106,1,0.00017724184457247995,0,0,0,0
107,2,0.00018578170919445415,0,0,0,0
108,2,0.0002683554738299601,0,0,0,0
109,2,0.00022117735760866737,529,0,0,0
110,2,0.000672145892173394,868,0,0,0
111,1,3.9399401106957144e-05,0,0,0,0
112,2,0.0002871630920570461,0,0,0,0
113,2,0.0005396311232376158,0,0,0,0
114,2,0.00047847308531993047,2541,0,0,0
115,1,0.0001482921688825966,0,0,0,0
116,2,0.0002734875969333298,0,0,0,0
117,2,0.000249987064877845,0,0,0,0
118,2,0.00037648293052224653,0,0,0,0
119,2,7.546914247245163e-05,0,0,0,0
120,2,0.00026116755639286464,0,0,0,0
121,2,5.8950965946473676e-05,0,0,0,0
122,1,6.821903911625955e-05,0,0,0,0
123,2,8.87575034949965e-05,0,0,0,0
124,2,0.0005401401062486766,0,0,0,0
125,2,0.00013950315066575035,0,0,0,0
126,2,0.0002604207998127213,0,0,0,0
127,2,0.00011902507325433257,0,0,0,0
128,2,0.0001405718739492137,0,0,0,0
129,2,0.00035540276328235697,0,0,0,0
130,2,0.0001553065228296456,0,0,0,0
131,2,9.244181948927091e-05,0,0,0,0
132,2,0.00024683546022234693,0,0,0,0
133,2,0.00018366206733839286,0,0,0,0
134,2,0.00018044664338307556,0,0,0,0
135,2,0.00023542620016731174,0,0,0,0
136,2,0.0001986290397812104,0,0,0,0
137,2,0.0003973696828633851,0,0,0,0
138,1,0.0001916855177451512,0,0,0,0
139,2,0.00047509640368320334,0,0,0,0
140,2,0.00012845256387714006,0,0,0,0
141,2,0.000229204816639332,0,0,0,0
142,2,0.0004984187283224425,0,0,0,0
143,2,0.00017691405124881492,0,0,0,0
144,2,3.942928791057988e-05,0,0,0,0
145,2,0.00015330829131605483,30,0,0,0
146,2,5.0758460339247235e-05,0,0,0,0
147,2,9.007694299679406e-05,0,0,0,0
148,1,4.9358902711147956e-05,0,0,0,0
149,2,0.00013585205994500951,0,0,0,0
150,1,3.0373449918323797e-05,0,0,0,0
151,2,5.643252996264176e-05,42,0,0,0
152,2,0.00017177303991115471,0,0,0,0
153,2,0.00017740968574951342,0,0,0,0
154,2,0.00020230826022026762,0,0,0,0
155,1,4.186547374607639e-05,0,0,0,0
156,2,0.0002830460706478098,0,0,0,0
157,2,0.0005710973520190391,0,0,0,0
158,2,0.0003200704792628348,0,0,0,0
159,2,0.00021312029801305422,0,0,0,0
160,2,0.0003249850348949012,0,0,0,0
161,2,0.0006224898533120949,0,0,0,0
162,2,0.00022143672106587415,0,0,0,0
163,1,0.00019848415451005635,0,0,0,0
164,2,3.4469456115369796e-05,0,0,0,0
165,2,0.00014523153603824166,0,0,0,0
166,2,0.00024298328294650049,0,0,0,0
167,2,0.0001645345030140289,0,0,0,0
168,2,5.6115533226524154e-05,0,0,0,0
169,1,0.00011523078388323504,0,0,0,0
170,1,0.0001130998660241388,0,0,0,0
171,2,0.00025555539712416377,0,0,0,0
172,2,0.0002300651735665135,0,0,0,0
173,2,0.00015068483500456289,0,0,0,0
174,2,0.00032650567998505415,0,0,0,0
175,2,0.00037810573544458457,0,0,0,0
176,1,5.005608129901963e-05,0,0,0,0
177,2,0.000297727860694288,0,0,0,0
178,2,0.0001848623796598824,0,0,0,0
179,1,4.688808530600418e-05,0,0,0,0
180,2,0.0002691757037327408,0,0,0,0
181,2,0.00027600403897401406,0,0,0,0
182,2,0.00019457775083270935,0,0,0,0
183,2,0.000609936086219339,0,0,0,0
184,2,0.00026029567355900145,0,0,0,0
185,2,0.0005710321574470476,0,0,0,0
186,2,0.00026124151181830416,0,0,0,0
187,2,0.00016407773650635723,0,0,0,0
188,2,0.00015862767167010405,0,0,0,0
189,2,0.0006071161702363138,0,0,0,0
190,2,0.0004527987057250201,0,0,0,0
191,2,0.00026981515248548395,0,0,0,0
192,1,0.00017277263319886112,0,0,0,0
193,1,8.32352575534033e-05,0,0,0,0
194,2,0.00022839311267435346,0,0,0,0
195,2,1.1785288114535866e-06,0,0,0,0
196,2,0.00017089622775352494,0,0,0,0
197,2,0.00019936576251934607,0,0,0,0
198,1,5.129241618362922e-05,35,0,0,0
199,2,9.502338400726312e-05,0,0,0,0
200,2,0.0003203500189308807,0,0,0,0
201,2,0.0003707473223554465,0,0,0,0
202,2,0.00013301568713748813,0,0,0,0
203,2,0.00010229689186475509,0,0,0,0
204,2,0.00014240903140282457,0,0,0,0
205,2,0.0002923656937515974,0,0,0,0
206,2,8.571945258184991e-05,0,0,0,0
207,1,0.0001968933944717776,0,0,0,0
208,1,3.059331866047019e-05,0,0,0,0
209,1,0.000281661649147355,0,0,0,0
210,2,5.421646663038015e-05,0,0,0,0
211,1,6.415767749610678e-05,0,0,0,0
212,2,0.00011708978645176096,0,0,0,0
213,2,0.00025399122500488773,0,0,0,0
214,2,6.80316889226996e-05,0,0,0,0
215,2,0.0001588652644553101,0,0,0,0
216,2,8.408405612584163e-05,0,0,0,0
217,2,4.667173191428427e-05,0,0,0,0
218,2,0.0002258793107768907,0,0,0,0
219,2,0.00036790577218617847,317,0,0,0
220,2,9.912116475543113e-05,0,0,0,0
221,2,0.0001957203211523538,0,0,0,0
222,2,5.89931664642668e-05,0,0,0,0
223,2,1.8339951039580494e-05,0,0,0,0
224,2,0.00020778255554857036,0,0,0,0
225,2,0.00012167470781003591,0,0,0,0
226,2,3.998233951501852e-05,0,0,0,0
227,2,0.00033229745464022207,0,0,0,0
228,2,0.0001053819980644214,7,0,0,0
229,2,0.00033053075553977814,0,0,0,0
230,2,0.0007050813240973899,0,0,0,0
231,1,1.821966153970309e-05,0,0,0,0
232,2,0.0002629416950090167,0,0,0,0
233,2,0.0002429540172158123,0,0,0,0
234,2,0.0001731594846634596,0,0,0,0
235,1,2.1778254837040004e-05,0,0,0,0
236,2,0.0003091115177420458,0,0,0,0
237,2,5.241175819630528e-05,0,0,0,0
238,1,5.9997795672522134e-05,4082,0,0,0
239,2,0.0002632910976489464,0,0,0,0
240,2,0.0003510392383828884,0,0,0,0
241,2,0.00031172076138807783,0,0,0,0
242,2,0.00024243851588513023,0,0,0,0
243,2,0.00014762204943528437,0,0,0,0
244,1,0.0001397261974671964,0,0,0,0
245,2,0.00010643861184042467,0,0,0,0
246,2,0.0004049073158934578,0,0,0,0
247,1,2.7499153220908155e-05,0,0,0,0
248,2,0.00025818937659565167,0,0,0,0
249,2,0.0001208137184180738,0,0,0,0
250,2,8.886583440272195e-05,0,0,0,0
251,2,0.00037427019305006926,5235,0,0,0
252,2,8.906699351774311e-05,0,0,0,0
253,2,0.00020905092309372864,0,0,0,0
254,2,9.362912826029994e-05,0,0,0,0
255,1,8.234283110817332e-05,0,0,0,0
256,2,0.0003870308616083064,0,0,0,0
257,2,0.0002984505684144821,0,0,0,0
258,2,0.000359615291654991,0,0,0,0
259,1,0.00015153940806082148,0,0,0,0
260,2,0.00013311365080024564,1007,0,0,0
261,2,0.000284040324753581,0,0,0,0
262,2,9.627987835144812e-05,0,0,0,0
263,2,8.874798132083744e-05,3860,0,0,0
264,2,3.7997167391755644e-05,0,0,0,0
265,2,0.00027864856207961825,0,0,0,0
266,2,0.0005971120207905778,0,0,0,0
267,2,0.00022835560212118282,0,0,0,0
268,2,4.759842167126452e-05,0,0,0,0
269,2,5.821931042398624e-05,0,0,0,0
270,2,0.00043029714137261934,0,0,0,0
271,2,0.0001041566907304274,0,0,0,0
272,2,0.0003598206794728571,0,0,0,0
273,2,0.0005430208384875846,0,0,0,0
274,2,0.00014945551894526667,0,0,0,0
275,2,0.00011893256670807392,0,0,0,0
276,2,3.7179797191030844e-05,43,0,0,0
277,1,3.234473407616331e-05,0,0,0,0
278,2,0.0011964127080251984,7395,0,0,0
279,2,0.00019116915399593212,0,0,0,0
280,2,0.000658050266610502,0,0,0,0
281,2,0.0005970092093910776,0,0,0,0
282,2,0.0002372519314309534,0,0,0,0
283,2,0.00038481458669164983,0,0,0,0
284,2,0.000623273703138236,0,0,0,0
