n,k,risk,U_anytime,U_per_time,L1,L2
1.000000000000000000e+00,1.000000000000000000e+00,1.536776889016104874e-01,1.000000000000000000e+00,1.000000000000000000e+00,5.435913494390085532e-01,2.972232304976087924e-01
2.000000000000000000e+00,1.000000000000000000e+00,1.536776889016104874e-01,9.984562885934843424e-01,9.987334852044719158e-01,5.435913494390085532e-01,2.972232304976087924e-01
3.000000000000000000e+00,1.000000000000000000e+00,1.536776889016104874e-01,9.773304530956987701e-01,9.806282772289166560e-01,5.435913494390085532e-01,2.972232304976087924e-01
4.000000000000000000e+00,1.000000000000000000e+00,1.536776889016104874e-01,9.380963182335798622e-01,9.459029694434005764e-01,5.435913494390085532e-01,2.972232304976087924e-01
5.000000000000000000e+00,2.000000000000000000e+00,1.923806551648877261e-01,9.560732087417863623e-01,9.656505267144398497e-01,7.049054017195409694e-01,7.437886373627389247e-02
6.000000000000000000e+00,2.000000000000000000e+00,1.923806551648877261e-01,9.209768922057294249e-01,9.341847366050805013e-01,7.049054017195409694e-01,7.437886373627389247e-02
7.000000000000000000e+00,2.000000000000000000e+00,5.350474461564531242e-02,8.844115860284834651e-01,9.003087650483684312e-01,3.444002688807481505e-01,1.545304885587667765e-01
8.000000000000000000e+00,2.000000000000000000e+00,5.350474461564531242e-02,8.844115860284834651e-01,8.665269120301958283e-01,3.444002688807481505e-01,1.545304885587667765e-01
9.000000000000000000e+00,2.000000000000000000e+00,5.350474461564531242e-02,8.087465708666060626e-01,8.339914750513134356e-01,3.444002688807481505e-01,1.545304885587667765e-01
1.000000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,7.773822258357541148e-01,8.031837432928627951e-01,1.484052213965904865e-01,1.981063494329630414e-01
1.100000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,7.773822258357541148e-01,7.742556390481049045e-01,1.484052213965904865e-01,1.981063494329630414e-01
1.200000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,7.160820803211284113e-01,7.471986535634159710e-01,1.484052213965904865e-01,1.981063494329630414e-01
1.300000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,7.160820803211284113e-01,7.219286355227462204e-01,1.484052213965904865e-01,1.981063494329630414e-01
1.400000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,6.635251589369245417e-01,6.983289979257342184e-01,1.484052213965904865e-01,1.981063494329630414e-01
1.500000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,6.635251589369245417e-01,6.762728599142101560e-01,1.484052213965904865e-01,1.981063494329630414e-01
1.600000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,6.635251589369245417e-01,6.547706462961758733e-01,1.484052213965904865e-01,1.981063494329630414e-01
1.700000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,5.915281699244890889e-01,6.340210943705050228e-01,1.484052213965904865e-01,1.981063494329630414e-01
1.800000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,5.915281699244890889e-01,6.146645148807391434e-01,1.484052213965904865e-01,1.981063494329630414e-01
1.900000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,5.915281699244890889e-01,5.965684235234619548e-01,1.484052213965904865e-01,1.981063494329630414e-01
2.000000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,5.347043649250906583e-01,5.796146968193924831e-01,1.484052213965904865e-01,1.981063494329630414e-01
2.100000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,5.347043649250906583e-01,5.636983372779628132e-01,1.484052213965904865e-01,1.981063494329630414e-01
2.200000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,5.347043649250906583e-01,5.487260967944950218e-01,1.484052213965904865e-01,1.981063494329630414e-01
2.300000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,5.347043649250906583e-01,5.346151237261610456e-01,1.484052213965904865e-01,1.981063494329630414e-01
2.400000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,4.730334452155655067e-01,5.212917085747731383e-01,1.484052213965904865e-01,1.981063494329630414e-01
2.500000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,4.730334452155655067e-01,5.086901565864531127e-01,1.484052213965904865e-01,1.981063494329630414e-01
2.600000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,4.730334452155655067e-01,4.966036458763418149e-01,1.484052213965904865e-01,1.981063494329630414e-01
2.700000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,4.730334452155655067e-01,4.847808018236389183e-01,1.484052213965904865e-01,1.981063494329630414e-01
2.800000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,4.240762815944058572e-01,4.735766412742040687e-01,1.484052213965904865e-01,1.981063494329630414e-01
2.900000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,4.240762815944058572e-01,4.629420138264034867e-01,1.484052213965904865e-01,1.981063494329630414e-01
3.000000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,4.240762815944058572e-01,4.528328827930513945e-01,1.484052213965904865e-01,1.981063494329630414e-01
3.100000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,4.240762815944058572e-01,4.432096845454395750e-01,1.484052213965904865e-01,1.981063494329630414e-01
3.200000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,4.240762815944058572e-01,4.340367788187129983e-01,1.484052213965904865e-01,1.981063494329630414e-01
3.300000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,3.752987829771863293e-01,4.252819761646184360e-01,1.484052213965904865e-01,1.981063494329630414e-01
3.400000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,3.752987829771863293e-01,4.169161308029810109e-01,1.484052213965904865e-01,1.981063494329630414e-01
3.500000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,3.752987829771863293e-01,4.089127889447854436e-01,1.484052213965904865e-01,1.981063494329630414e-01
3.600000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,3.752987829771863293e-01,4.012478842296561266e-01,1.484052213965904865e-01,1.981063494329630414e-01
3.700000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,3.752987829771863293e-01,3.937078355921898587e-01,1.484052213965904865e-01,1.981063494329630414e-01
3.800000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,3.369486861755803253e-01,3.864444756173436857e-01,1.484052213965904865e-01,1.981063494329630414e-01
3.900000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,3.369486861755803253e-01,3.794776389995856425e-01,1.484052213965904865e-01,1.981063494329630414e-01
4.000000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,3.369486861755803253e-01,3.727886968850811500e-01,1.484052213965904865e-01,1.981063494329630414e-01
4.100000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,3.369486861755803253e-01,3.663605828702488076e-01,1.484052213965904865e-01,1.981063494329630414e-01
4.200000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,3.369486861755803253e-01,3.601776309633002993e-01,1.484052213965904865e-01,1.981063494329630414e-01
4.300000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,3.369486861755803253e-01,3.542254333379886155e-01,1.484052213965904865e-01,1.981063494329630414e-01
4.400000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,3.369486861755803253e-01,3.484907151286172899e-01,1.484052213965904865e-01,1.981063494329630414e-01
4.500000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.942322199897798307e-01,3.429612239388922235e-01,1.484052213965904865e-01,1.981063494329630414e-01
4.600000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.942322199897798307e-01,3.376256320902509267e-01,1.484052213965904865e-01,1.981063494329630414e-01
4.700000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.942322199897798307e-01,3.324524633145886643e-01,1.484052213965904865e-01,1.981063494329630414e-01
4.800000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.942322199897798307e-01,3.273553181955522473e-01,1.484052213965904865e-01,1.981063494329630414e-01
4.900000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.942322199897798307e-01,3.224313509689332169e-01,1.484052213965904865e-01,1.981063494329630414e-01
5.000000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.942322199897798307e-01,3.176714676387900615e-01,1.484052213965904865e-01,1.981063494329630414e-01
5.100000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.942322199897798307e-01,3.130672155768977061e-01,1.484052213965904865e-01,1.981063494329630414e-01
5.200000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.613840832222788513e-01,3.086107271793818163e-01,1.484052213965904865e-01,1.981063494329630414e-01
5.300000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.613840832222788513e-01,3.042946694047868883e-01,1.484052213965904865e-01,1.981063494329630414e-01
5.400000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.613840832222788513e-01,3.001121984874948745e-01,1.484052213965904865e-01,1.981063494329630414e-01
5.500000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.613840832222788513e-01,2.960569192153301166e-01,1.484052213965904865e-01,1.981063494329630414e-01
5.600000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.613840832222788513e-01,2.921228482416295957e-01,1.484052213965904865e-01,1.981063494329630414e-01
5.700000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.613840832222788513e-01,2.883043809709561200e-01,1.484052213965904865e-01,1.981063494329630414e-01
5.800000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.613840832222788513e-01,2.845743220918857674e-01,1.484052213965904865e-01,1.981063494329630414e-01
5.900000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.613840832222788513e-01,2.809024677152160421e-01,1.484052213965904865e-01,1.981063494329630414e-01
6.000000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.613840832222788513e-01,2.773355764213803476e-01,1.484052213965904865e-01,1.981063494329630414e-01
6.100000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.285313179582481313e-01,2.738690007977264140e-01,1.484052213965904865e-01,1.981063494329630414e-01
6.200000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.285313179582481313e-01,2.704983706885393246e-01,1.484052213965904865e-01,1.981063494329630414e-01
6.300000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.285313179582481313e-01,2.672195725097429864e-01,1.484052213965904865e-01,1.981063494329630414e-01
6.400000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.285313179582481313e-01,2.640287304058056561e-01,1.484052213965904865e-01,1.981063494329630414e-01
6.500000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.285313179582481313e-01,2.609221890591502668e-01,1.484052213965904865e-01,1.981063494329630414e-01
6.600000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.285313179582481313e-01,2.578964979844521332e-01,1.484052213965904865e-01,1.981063494329630414e-01
6.700000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.285313179582481313e-01,2.549483971594088128e-01,1.484052213965904865e-01,1.981063494329630414e-01
6.800000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.285313179582481313e-01,2.520748038602935170e-01,1.484052213965904865e-01,1.981063494329630414e-01
6.900000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.285313179582481313e-01,2.492608734111609603e-01,1.484052213965904865e-01,1.981063494329630414e-01
7.000000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.285313179582481313e-01,2.464836808111940114e-01,1.484052213965904865e-01,1.981063494329630414e-01
7.100000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.006380046853690757e-01,2.437749925690921582e-01,1.484052213965904865e-01,1.981063494329630414e-01
7.200000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.006380046853690757e-01,2.411321885757372885e-01,1.484052213965904865e-01,1.981063494329630414e-01
7.300000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.006380046853690757e-01,2.385527839958755114e-01,1.484052213965904865e-01,1.981063494329630414e-01
7.400000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.006380046853690757e-01,2.360344205140329221e-01,1.484052213965904865e-01,1.981063494329630414e-01
7.500000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.006380046853690757e-01,2.335748582584369626e-01,1.484052213965904865e-01,1.981063494329630414e-01
7.600000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.006380046853690757e-01,2.311719683420589144e-01,1.484052213965904865e-01,1.981063494329630414e-01
7.700000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.006380046853690757e-01,2.288237259661070055e-01,1.484052213965904865e-01,1.981063494329630414e-01
7.800000000000000000e+01,2.000000000000000000e+00,9.017251746762048464e-03,2.006380046853690757e-01,2.265282040367294913e-01,1.484052213965904865e-01,1.981063494329630414e-01
