n,k,U,objective,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.514833614706318166e+00,2.830815330526594842e-01,1.761905595918788689e-02,-2.868573031567187015e-01,-1.959915758745175651e+00,-3.060036716580419487e-03,-1.721029353929174610e-01,-8.437392245870077925e-03,-1.587100281039828253e+00,-5.526863497678098369e-01,-1.782919135561542301e-01,-2.092537253882443604e+00,-1.933029400560249689e-01,-4.320073324271561099e-01,-6.001059813078518657e-01,-1.606054420732354382e+00,-4.004482583273710761e-02,-2.088037599678861100e-01,-2.088576626729650609e+00
2.000000000000000000e+00,1.000000000000000000e+00,9.997562560937113263e-01,3.514833614706318166e+00,2.830815330526594842e-01,1.761905595918788689e-02,-2.868573031567187015e-01,-1.959915758745175651e+00,-3.060036716580419487e-03,-1.721029353929174610e-01,-8.437392245870077925e-03,-1.587100281039828253e+00,-5.526863497678098369e-01,-1.782919135561542301e-01,-2.092537253882443604e+00,-1.933029400560249689e-01,-4.320073324271561099e-01,-6.001059813078518657e-01,-1.606054420732354382e+00,-4.004482583273710761e-02,-2.088037599678861100e-01,-2.088576626729650609e+00
3.000000000000000000e+00,1.000000000000000000e+00,9.909920354815777710e-01,3.514833614706318166e+00,2.830815330526594842e-01,1.761905595918788689e-02,-2.868573031567187015e-01,-1.959915758745175651e+00,-3.060036716580419487e-03,-1.721029353929174610e-01,-8.437392245870077925e-03,-1.587100281039828253e+00,-5.526863497678098369e-01,-1.782919135561542301e-01,-2.092537253882443604e+00,-1.933029400560249689e-01,-4.320073324271561099e-01,-6.001059813078518657e-01,-1.606054420732354382e+00,-4.004482583273710761e-02,-2.088037599678861100e-01,-2.088576626729650609e+00
4.000000000000000000e+00,1.000000000000000000e+00,9.665415592623266550e-01,3.514833614706318166e+00,2.830815330526594842e-01,1.761905595918788689e-02,-2.868573031567187015e-01,-1.959915758745175651e+00,-3.060036716580419487e-03,-1.721029353929174610e-01,-8.437392245870077925e-03,-1.587100281039828253e+00,-5.526863497678098369e-01,-1.782919135561542301e-01,-2.092537253882443604e+00,-1.933029400560249689e-01,-4.320073324271561099e-01,-6.001059813078518657e-01,-1.606054420732354382e+00,-4.004482583273710761e-02,-2.088037599678861100e-01,-2.088576626729650609e+00
5.000000000000000000e+00,1.000000000000000000e+00,9.325893582920117275e-01,3.970747431543657058e+00,9.535490369535556954e-02,6.255116539920253793e-02,-2.665050972121063566e-01,-2.015395686402173148e+00,2.322568831017892549e-02,-1.652598731858360703e-01,-2.024370703061880578e-03,-1.564500803605979318e+00,-5.527226121367980749e-01,-1.626083380006320966e-01,-2.077433700730204169e+00,-2.117319314604833025e-01,-4.037410412891653810e-01,-6.114081285378771824e-01,-1.609242758766177728e+00,-3.428297033261488991e-02,-2.157695142506682040e-01,-2.086186765886967720e+00
6.000000000000000000e+00,1.000000000000000000e+00,8.950517535253665891e-01,3.970747431543657058e+00,9.535490369535556954e-02,6.255116539920253793e-02,-2.665050972121063566e-01,-2.015395686402173148e+00,2.322568831017892549e-02,-1.652598731858360703e-01,-2.024370703061880578e-03,-1.564500803605979318e+00,-5.527226121367980749e-01,-1.626083380006320966e-01,-2.077433700730204169e+00,-2.117319314604833025e-01,-4.037410412891653810e-01,-6.114081285378771824e-01,-1.609242758766177728e+00,-3.428297033261488991e-02,-2.157695142506682040e-01,-2.086186765886967720e+00
7.000000000000000000e+00,1.000000000000000000e+00,8.950517535253665891e-01,3.970747431543657058e+00,9.535490369535556954e-02,6.255116539920253793e-02,-2.665050972121063566e-01,-2.015395686402173148e+00,2.322568831017892549e-02,-1.652598731858360703e-01,-2.024370703061880578e-03,-1.564500803605979318e+00,-5.527226121367980749e-01,-1.626083380006320966e-01,-2.077433700730204169e+00,-2.117319314604833025e-01,-4.037410412891653810e-01,-6.114081285378771824e-01,-1.609242758766177728e+00,-3.428297033261488991e-02,-2.157695142506682040e-01,-2.086186765886967720e+00
8.000000000000000000e+00,1.000000000000000000e+00,8.149979983333476286e-01,3.970747431543657058e+00,9.535490369535556954e-02,6.255116539920253793e-02,-2.665050972121063566e-01,-2.015395686402173148e+00,2.322568831017892549e-02,-1.652598731858360703e-01,-2.024370703061880578e-03,-1.564500803605979318e+00,-5.527226121367980749e-01,-1.626083380006320966e-01,-2.077433700730204169e+00,-2.117319314604833025e-01,-4.037410412891653810e-01,-6.114081285378771824e-01,-1.609242758766177728e+00,-3.428297033261488991e-02,-2.157695142506682040e-01,-2.086186765886967720e+00
9.000000000000000000e+00,2.000000000000000000e+00,8.530768184879357063e-01,3.970748029339579155e+00,9.550657115525863772e-02,6.212280969862814251e-02,-2.664989999301934365e-01,-2.015324231083330808e+00,2.313098286877452933e-02,-1.652289384831553687e-01,-2.328513578697425420e-03,-1.564734326618281601e+00,-5.526802188909401004e-01,-1.627486475873762550e-01,-2.077531966326730650e+00,-2.115994169554405169e-01,-4.038041489786314275e-01,-6.113169739176541606e-01,-1.609241245731917402e+00,-3.431367480660203056e-02,-2.157505197804616692e-01,-2.086185070025902366e+00
1.000000000000000000e+01,2.000000000000000000e+00,8.232514771709420476e-01,3.970748029339579155e+00,9.550657115525863772e-02,6.212280969862814251e-02,-2.664989999301934365e-01,-2.015324231083330808e+00,2.313098286877452933e-02,-1.652289384831553687e-01,-2.328513578697425420e-03,-1.564734326618281601e+00,-5.526802188909401004e-01,-1.627486475873762550e-01,-2.077531966326730650e+00,-2.115994169554405169e-01,-4.038041489786314275e-01,-6.113169739176541606e-01,-1.609241245731917402e+00,-3.431367480660203056e-02,-2.157505197804616692e-01,-2.086185070025902366e+00
