n,k,risk,CG23,U
1.000000000000000000e+00,0.000000000000000000e+00,4.570251543029181240e-01,9.500000000000000666e-01,9.960243809935777071e-01
2.000000000000000000e+00,0.000000000000000000e+00,4.570251543029181240e-01,8.288927807443812190e-01,9.558596278772855115e-01
3.000000000000000000e+00,1.000000000000000000e+00,4.506647210498979650e-01,9.197020886273684637e-01,9.773304530956987701e-01
4.000000000000000000e+00,1.000000000000000000e+00,2.852522071434664408e-01,8.361233319678822440e-01,9.380963182335798622e-01
5.000000000000000000e+00,1.000000000000000000e+00,2.852522071434664408e-01,7.579375680402551385e-01,8.930608942925180038e-01
6.000000000000000000e+00,1.000000000000000000e+00,2.852522071434664408e-01,6.895549370398048605e-01,8.481895541205827227e-01
7.000000000000000000e+00,1.000000000000000000e+00,2.852522071434664408e-01,6.307782250510473032e-01,8.481895541205827227e-01
8.000000000000000000e+00,1.000000000000000000e+00,2.852522071434664408e-01,5.803275351005688920e-01,7.591784574009939890e-01
9.000000000000000000e+00,1.000000000000000000e+00,2.852522071434664408e-01,5.368316152632855998e-01,7.240684237560423009e-01
1.000000000000000000e+01,1.000000000000000000e+00,1.707412439101213888e-02,4.990877592101270466e-01,7.240684237560423009e-01
1.100000000000000000e+01,1.000000000000000000e+00,1.707412439101213888e-02,4.661038359751177307e-01,6.567064570596724549e-01
1.200000000000000000e+01,1.000000000000000000e+00,1.707412439101213888e-02,4.370781956609833818e-01,6.567064570596724549e-01
1.300000000000000000e+01,1.000000000000000000e+00,1.707412439101213888e-02,4.113662749745250480e-01,6.567064570596724549e-01
1.400000000000000000e+01,1.000000000000000000e+00,1.707412439101213888e-02,3.884487604823144147e-01,5.742886760387458933e-01
1.500000000000000000e+01,1.000000000000000000e+00,1.707412439101213888e-02,3.679050559244885776e-01,5.742886760387458933e-01
1.600000000000000000e+01,1.000000000000000000e+00,1.707412439101213888e-02,3.493922392455655057e-01,5.742886760387458933e-01
1.700000000000000000e+01,1.000000000000000000e+00,1.707412439101213888e-02,3.326286939938347675e-01,5.110560582659954276e-01
1.800000000000000000e+01,1.000000000000000000e+00,1.707412439101213888e-02,3.173814541003815437e-01,5.110560582659954276e-01
1.900000000000000000e+01,1.000000000000000000e+00,1.707412439101213888e-02,3.034564154178798767e-01,5.110560582659954276e-01
2.000000000000000000e+01,1.000000000000000000e+00,1.707412439101213888e-02,2.906907358026240562e-01,5.110560582659954276e-01
2.100000000000000000e+01,1.000000000000000000e+00,1.707412439101213888e-02,2.789469015415291797e-01,4.425813812599997399e-01
2.200000000000000000e+01,1.000000000000000000e+00,1.707412439101213888e-02,2.681080648514876374e-01,4.425813812599997399e-01
2.300000000000000000e+01,1.000000000000000000e+00,1.707412439101213888e-02,2.580743550939256781e-01,4.425813812599997399e-01
2.400000000000000000e+01,1.000000000000000000e+00,1.707412439101213888e-02,2.487599401015542500e-01,4.425813812599997399e-01
2.500000000000000000e+01,1.000000000000000000e+00,1.707412439101213888e-02,2.400906690082988404e-01,3.909603129125163723e-01
2.600000000000000000e+01,1.000000000000000000e+00,1.707412439101213888e-02,2.320021688580373165e-01,3.909603129125163723e-01
2.700000000000000000e+01,1.000000000000000000e+00,1.707412439101213888e-02,2.244382976957241815e-01,3.909603129125163723e-01
2.800000000000000000e+01,1.000000000000000000e+00,1.707412439101213888e-02,2.173498795673907413e-01,3.909603129125163723e-01
2.900000000000000000e+01,1.000000000000000000e+00,1.707412439101213888e-02,2.106936639056164462e-01,3.909603129125163723e-01
3.000000000000000000e+01,1.000000000000000000e+00,1.707412439101213888e-02,2.044314646418448622e-01,3.909603129125163723e-01
3.100000000000000000e+01,1.000000000000000000e+00,1.707412439101213888e-02,1.985294441519333264e-01,3.328122505018059063e-01
3.200000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,2.459125420900050984e-01,4.240762815944058572e-01
3.300000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,2.392965561281713838e-01,3.752987829771863293e-01
3.400000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,2.330254481633533270e-01,3.752987829771863293e-01
3.500000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,2.270730853550920469e-01,3.752987829771863293e-01
3.600000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,2.214158938989368164e-01,3.752987829771863293e-01
3.700000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,2.160325554245459134e-01,3.752987829771863293e-01
3.800000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,2.109037452780475330e-01,3.369486861755803253e-01
3.900000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,2.060119061592399770e-01,3.369486861755803253e-01
4.000000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,2.013410517100072683e-01,3.369486861755803253e-01
4.100000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.968765955650753074e-01,3.369486861755803253e-01
4.200000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.926052021223170208e-01,3.369486861755803253e-01
4.300000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.885146559006757594e-01,3.369486861755803253e-01
4.400000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.845937468556692607e-01,3.369486861755803253e-01
4.500000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.808321694365104537e-01,2.942322199897798307e-01
4.600000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.772204335114606344e-01,2.942322199897798307e-01
4.700000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.737497855726749529e-01,2.942322199897798307e-01
4.800000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.704121388689723848e-01,2.942322199897798307e-01
4.900000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.672000113132859345e-01,2.942322199897798307e-01
5.000000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.641064701779061663e-01,2.942322199897798307e-01
5.100000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.611250827306131839e-01,2.942322199897798307e-01
5.200000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.582498720829358940e-01,2.613840832222788513e-01
5.300000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.554752776217803445e-01,2.613840832222788513e-01
5.400000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.527961194805674827e-01,2.613840832222788513e-01
5.500000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.502075665782810210e-01,2.613840832222788513e-01
5.600000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.477051078165101949e-01,2.613840832222788513e-01
5.700000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.452845260773560354e-01,2.613840832222788513e-01
5.800000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.429418747103528564e-01,2.613840832222788513e-01
5.900000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.406734562355053675e-01,2.613840832222788513e-01
6.000000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.384758030231160730e-01,2.613840832222788513e-01
6.100000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.363456597400916070e-01,2.285313179582481313e-01
6.200000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.342799673775397495e-01,2.285313179582481313e-01
6.300000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.322758486962794522e-01,2.285313179582481313e-01
6.400000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.303305949458519186e-01,2.285313179582481313e-01
6.500000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.284416537291523941e-01,2.285313179582481313e-01
6.600000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.266066178992417690e-01,2.285313179582481313e-01
6.700000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.248232153875282607e-01,2.285313179582481313e-01
6.800000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.230892998735870492e-01,2.285313179582481313e-01
6.900000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.214028422166127108e-01,2.285313179582481313e-01
7.000000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.197619225770596985e-01,2.285313179582481313e-01
