n,k,risk,U,CG23,gain1,gain2
1.000000000000000000e+00,1.000000000000000000e+00,3.555331209231494816e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.013971229154133846e+00,3.642168262213178465e-01
2.000000000000000000e+00,1.000000000000000000e+00,3.555331209231494816e-01,9.984562885934843424e-01,9.875000000000034861e-01,1.013971229154133846e+00,3.642168262213178465e-01
3.000000000000000000e+00,1.000000000000000000e+00,3.555331209231494816e-01,9.773304530956987701e-01,9.197020886273704621e-01,1.013971229154133846e+00,3.642168262213178465e-01
4.000000000000000000e+00,1.000000000000000000e+00,3.555331209231494816e-01,9.380963182335798622e-01,8.361233319678823550e-01,1.013971229154133846e+00,3.642168262213178465e-01
5.000000000000000000e+00,1.000000000000000000e+00,2.581184056766438473e-01,8.930608942925180038e-01,7.579375680402576920e-01,8.163518778978502421e-01,2.653179804472124981e-01
6.000000000000000000e+00,1.000000000000000000e+00,2.581184056766438473e-01,8.481895541205827227e-01,6.895549370398080802e-01,8.163518778978502421e-01,2.653179804472124981e-01
7.000000000000000000e+00,1.000000000000000000e+00,2.581184056766438473e-01,8.481895541205827227e-01,6.307782250510486355e-01,8.163518778978502421e-01,2.653179804472124981e-01
8.000000000000000000e+00,1.000000000000000000e+00,2.581184056766438473e-01,7.591784574009939890e-01,5.803275351005717786e-01,8.163518778978502421e-01,2.653179804472124981e-01
9.000000000000000000e+00,1.000000000000000000e+00,2.581184056766438473e-01,7.240684237560423009e-01,5.368316152632881533e-01,8.163518778978502421e-01,2.653179804472124981e-01
1.000000000000000000e+01,1.000000000000000000e+00,2.581184056766438473e-01,7.240684237560423009e-01,4.990877592101302107e-01,8.163518778978502421e-01,2.653179804472124981e-01
1.100000000000000000e+01,1.000000000000000000e+00,2.581184056766438473e-01,6.567064570596724549e-01,4.661038359751184523e-01,8.163518778978502421e-01,2.653179804472124981e-01
1.200000000000000000e+01,1.000000000000000000e+00,2.581184056766438473e-01,6.567064570596724549e-01,4.370781956609835484e-01,8.163518778978502421e-01,2.653179804472124981e-01
1.300000000000000000e+01,1.000000000000000000e+00,2.581184056766438473e-01,6.567064570596724549e-01,4.113662749745255476e-01,8.163518778978502421e-01,2.653179804472124981e-01
1.400000000000000000e+01,1.000000000000000000e+00,2.581184056766438473e-01,5.742886760387458933e-01,3.884487604823153029e-01,8.163518778978502421e-01,2.653179804472124981e-01
1.500000000000000000e+01,1.000000000000000000e+00,2.733261403786304156e-03,5.742886760387458933e-01,3.679050559244917973e-01,2.091960954705903153e-01,7.036393983301886257e-02
1.600000000000000000e+01,1.000000000000000000e+00,2.733261403786304156e-03,5.742886760387458933e-01,3.493922392455670045e-01,2.091960954705903153e-01,7.036393983301886257e-02
1.700000000000000000e+01,1.000000000000000000e+00,2.733261403786304156e-03,5.110560582659954276e-01,3.326286939938360443e-01,2.091960954705903153e-01,7.036393983301886257e-02
1.800000000000000000e+01,1.000000000000000000e+00,2.733261403786304156e-03,5.110560582659954276e-01,3.173814541003847078e-01,2.091960954705903153e-01,7.036393983301886257e-02
1.900000000000000000e+01,1.000000000000000000e+00,2.733261403786304156e-03,5.110560582659954276e-01,3.034564154178799877e-01,2.091960954705903153e-01,7.036393983301886257e-02
2.000000000000000000e+01,1.000000000000000000e+00,2.733261403786304156e-03,5.110560582659954276e-01,2.906907358026271093e-01,2.091960954705903153e-01,7.036393983301886257e-02
2.100000000000000000e+01,1.000000000000000000e+00,2.733261403786304156e-03,4.425813812599997399e-01,2.789469015415304565e-01,2.091960954705903153e-01,7.036393983301886257e-02
2.200000000000000000e+01,1.000000000000000000e+00,2.733261403786304156e-03,4.425813812599997399e-01,2.681080648514890807e-01,2.091960954705903153e-01,7.036393983301886257e-02
2.300000000000000000e+01,1.000000000000000000e+00,2.733261403786304156e-03,4.425813812599997399e-01,2.580743550939265663e-01,2.091960954705903153e-01,7.036393983301886257e-02
2.400000000000000000e+01,1.000000000000000000e+00,2.733261403786304156e-03,4.425813812599997399e-01,2.487599401015557210e-01,2.091960954705903153e-01,7.036393983301886257e-02
2.500000000000000000e+01,1.000000000000000000e+00,2.733261403786304156e-03,3.909603129125163723e-01,2.400906690083005057e-01,2.091960954705903153e-01,7.036393983301886257e-02
2.600000000000000000e+01,1.000000000000000000e+00,2.733261403786304156e-03,3.909603129125163723e-01,2.320021688580385655e-01,2.091960954705903153e-01,7.036393983301886257e-02
2.700000000000000000e+01,1.000000000000000000e+00,2.733261403786304156e-03,3.909603129125163723e-01,2.244382976957252918e-01,2.091960954705903153e-01,7.036393983301886257e-02
2.800000000000000000e+01,1.000000000000000000e+00,2.733261403786304156e-03,3.909603129125163723e-01,2.173498795673931283e-01,2.091960954705903153e-01,7.036393983301886257e-02
2.900000000000000000e+01,1.000000000000000000e+00,2.733261403786304156e-03,3.909603129125163723e-01,2.106936639056189164e-01,2.091960954705903153e-01,7.036393983301886257e-02
