replicate,aligned_first_cost,aligned_selected_cost
0.000000000000000000e+00,1.374494920195007852e+00,1.374494920195007852e+00
1.000000000000000000e+00,1.505352267036276226e+00,1.505352267036276226e+00
2.000000000000000000e+00,1.472019236509332751e+00,1.472019236509332751e+00
3.000000000000000000e+00,1.526838267260626214e+00,1.526838267260626214e+00
4.000000000000000000e+00,1.482003805935203866e+00,1.479985223170159570e+00
5.000000000000000000e+00,1.505848665838111611e+00,1.505848665838111611e+00
6.000000000000000000e+00,1.522453096509797099e+00,1.522453096509797099e+00
7.000000000000000000e+00,1.517622916010579637e+00,1.517622916010579637e+00
8.000000000000000000e+00,1.493461551766752438e+00,1.493461551766752438e+00
9.000000000000000000e+00,1.487950562762220041e+00,1.487950562762220041e+00
1.000000000000000000e+01,1.538765336421052732e+00,1.538765336421052732e+00
1.100000000000000000e+01,1.511217647938564168e+00,1.511217647938564168e+00
1.200000000000000000e+01,1.486175387293950712e+00,1.486175387293950712e+00
1.300000000000000000e+01,1.499294108522491564e+00,1.499294108522491564e+00
1.400000000000000000e+01,1.512539877699702995e+00,1.512539877699702995e+00
1.500000000000000000e+01,1.511585002445390957e+00,1.511585002445390957e+00
1.600000000000000000e+01,1.474904256061412733e+00,1.474904256061412733e+00
1.700000000000000000e+01,1.412987598877306850e+00,1.412987598877306850e+00
1.800000000000000000e+01,1.534795857589534851e+00,1.534795857589534851e+00
1.900000000000000000e+01,1.481447776273212114e+00,1.481447776273212114e+00
2.000000000000000000e+01,1.522168780192339366e+00,1.522168780192339366e+00
2.100000000000000000e+01,1.536743820406957228e+00,1.536743820406957228e+00
2.200000000000000000e+01,1.443943377198741773e+00,1.443943377198741773e+00
2.300000000000000000e+01,1.532089770829529574e+00,1.532089770829529574e+00
2.400000000000000000e+01,1.514657392750532461e+00,1.514657392750532461e+00
2.500000000000000000e+01,1.515974316363934316e+00,1.515974316363934316e+00
2.600000000000000000e+01,1.451634860747798683e+00,1.451634860747798683e+00
2.700000000000000000e+01,1.543022105680688094e+00,1.543022105680688094e+00
2.800000000000000000e+01,1.517266955223659064e+00,1.517266955223659064e+00
2.900000000000000000e+01,1.538846385182240262e+00,1.538846385182240262e+00
3.000000000000000000e+01,1.524264239656823783e+00,1.524264239656823783e+00
3.100000000000000000e+01,1.468748187301642139e+00,1.468748187301642139e+00
3.200000000000000000e+01,1.552972619443321767e+00,1.552972619443321767e+00
3.300000000000000000e+01,1.532667837818519008e+00,1.532667837818519008e+00
