replicate,eps,method,deployed,acquired,k,risk,risk_exceeds_eps
0,0.05,CG23-repeated,1,164,1,0.003402816439765082,0
0,0.05,Anytime,1,271,1,0.003402816439765082,0
0,0.05,Fixed N,1,93,2,0.009510941450810844,0
0,0.05,GCC refined,1,162,2,0.009510941450810844,0
0,0.15,CG23-repeated,1,56,2,0.009510941450810844,0
0,0.15,Anytime,1,112,2,0.009510941450810844,0
0,0.15,Fixed N,1,30,1,0.13269740407570096,0
0,0.15,GCC refined,1,52,2,0.009510941450810844,0
1,0.05,CG23-repeated,1,174,2,0.003522924742464263,0
1,0.05,Anytime,1,362,2,0.003522924742464263,0
1,0.05,Fixed N,1,93,2,0.003522924742464263,0
1,0.05,GCC refined,1,162,2,0.003522924742464263,0
1,0.15,CG23-repeated,1,56,2,0.016597510447991362,0
1,0.15,Anytime,1,112,2,0.003522924742464263,0
1,0.15,Fixed N,1,30,2,0.07293440135342134,0
1,0.15,GCC refined,1,52,2,0.016597510447991362,0
2,0.05,CG23-repeated,1,134,1,0.003479795433661029,0
2,0.05,Anytime,1,271,1,0.003479795433661029,0
2,0.05,Fixed N,1,93,1,0.003479795433661029,0
2,0.05,GCC refined,1,132,1,0.003479795433661029,0
2,0.15,CG23-repeated,1,43,1,0.01894365267861897,0
2,0.15,Anytime,1,94,1,0.003479795433661029,0
2,0.15,Fixed N,1,30,2,0.1001632887303264,0
2,0.15,GCC refined,1,42,1,0.01894365267861897,0
3,0.05,CG23-repeated,1,166,1,2.668925442214175e-05,0
3,0.05,Anytime,1,271,1,2.668925442214175e-05,0
3,0.05,Fixed N,1,93,2,0.021613348106859786,0
3,0.05,GCC refined,1,162,2,0.011709866588463947,0
3,0.15,CG23-repeated,1,56,2,0.026036797836334752,0
3,0.15,Anytime,1,112,2,0.021613348106859786,0
3,0.15,Fixed N,1,30,2,0.026036797836334752,0
3,0.15,GCC refined,1,52,2,0.026036797836334752,0
4,0.05,CG23-repeated,1,174,2,0.007042332470408859,0
4,0.05,Anytime,1,362,2,0.006370022258862908,0
4,0.05,Fixed N,1,93,2,0.008960770937551975,0
4,0.05,GCC refined,1,162,2,0.007042332470408859,0
4,0.15,CG23-repeated,1,56,2,0.02106145602375171,0
4,0.15,Anytime,1,112,2,0.008960770937551975,0
4,0.15,Fixed N,1,30,2,0.02106145602375171,0
4,0.15,GCC refined,1,52,2,0.02106145602375171,0
5,0.05,CG23-repeated,1,174,2,0.009016085756631655,0
5,0.05,Anytime,1,362,2,0.009016085756631655,0
5,0.05,Fixed N,1,93,2,0.018078829997012446,0
5,0.05,GCC refined,1,162,2,0.009016085756631655,0
5,0.15,CG23-repeated,1,56,2,0.06810045242617434,0
5,0.15,Anytime,1,112,2,0.018078829997012446,0
5,0.15,Fixed N,1,30,2,0.06810045242617434,0
5,0.15,GCC refined,1,52,2,0.06810045242617434,0
6,0.05,CG23-repeated,1,174,2,0.02274565013425779,0
6,0.05,Anytime,1,362,2,0.0020728504378279304,0
6,0.05,Fixed N,1,93,2,0.04574135799912467,0
6,0.05,GCC refined,1,162,2,0.02274565013425779,0
6,0.15,CG23-repeated,1,56,2,0.046359244989140125,0
6,0.15,Anytime,1,112,2,0.03212951862978705,0
6,0.15,Fixed N,1,30,2,0.046359244989140125,0
6,0.15,GCC refined,1,52,2,0.046359244989140125,0
7,0.05,CG23-repeated,1,134,1,0.0009271710124191036,0
7,0.05,Anytime,1,271,1,0.0009271710124191036,0
7,0.05,Fixed N,1,93,1,0.0009271710124191036,0
7,0.05,GCC refined,1,132,1,0.0009271710124191036,0
7,0.15,CG23-repeated,1,43,1,0.0009271710124191036,0
7,0.15,Anytime,1,94,1,0.0009271710124191036,0
7,0.15,Fixed N,1,30,1,0.002733261403786304,0
7,0.15,GCC refined,1,42,1,0.0009271710124191036,0
8,0.05,CG23-repeated,1,134,1,0.0033705339066715545,0
8,0.05,Anytime,1,271,1,0.0033705339066715545,0
8,0.05,Fixed N,1,93,2,0.02194622422484849,0
8,0.05,GCC refined,1,162,1,0.0033705339066715545,0
8,0.15,CG23-repeated,1,43,1,0.03329372459250257,0
8,0.15,Anytime,1,112,2,0.02194622422484849,0
8,0.15,Fixed N,1,30,1,0.03329372459250257,0
8,0.15,GCC refined,1,42,1,0.03329372459250257,0
9,0.05,CG23-repeated,1,174,2,0.001255474868250261,0
9,0.05,Anytime,1,362,2,0.001255474868250261,0
9,0.05,Fixed N,1,93,1,0.021040943169005264,0
9,0.05,GCC refined,1,162,2,0.001255474868250261,0
9,0.15,CG23-repeated,1,51,1,0.021040943169005264,0
9,0.15,Anytime,1,112,2,0.018816322669201985,0
9,0.15,Fixed N,1,30,2,0.05723463908774407,0
9,0.15,GCC refined,1,52,1,0.021040943169005264,0
10,0.05,CG23-repeated,1,134,1,0.02596886683504626,0
10,0.05,Anytime,1,362,2,0.004889743003486309,0
10,0.05,Fixed N,1,93,1,0.02596886683504626,0
10,0.05,GCC refined,1,132,1,0.02596886683504626,0
10,0.15,CG23-repeated,1,43,1,0.02596886683504626,0
10,0.15,Anytime,1,94,1,0.02596886683504626,0
10,0.15,Fixed N,1,30,1,0.02596886683504626,0
10,0.15,GCC refined,1,42,1,0.02596886683504626,0
11,0.05,CG23-repeated,1,174,2,0.03230335144858303,0
11,0.05,Anytime,1,362,2,0.007009589997313112,0
11,0.05,Fixed N,1,93,2,0.03230335144858303,0
11,0.05,GCC refined,1,162,2,0.03230335144858303,0
11,0.15,CG23-repeated,1,56,2,0.03998475241936242,0
11,0.15,Anytime,1,112,2,0.03230335144858303,0
11,0.15,Fixed N,1,30,2,0.06194159315364874,0
11,0.15,GCC refined,1,52,2,0.03998475241936242,0
12,0.05,CG23-repeated,1,134,1,0.01142632681136466,0
12,0.05,Anytime,1,362,2,0.0018796337773735574,0
12,0.05,Fixed N,1,93,2,0.02717501379675596,0
12,0.05,GCC refined,1,132,1,0.01142632681136466,0
12,0.15,CG23-repeated,1,51,1,0.03190312261229713,0
12,0.15,Anytime,1,112,2,0.02717501379675596,0
12,0.15,Fixed N,1,30,2,0.05197546054386021,0
12,0.15,GCC refined,1,52,1,0.03190312261229713,0
13,0.05,CG23-repeated,1,134,1,0.0163264753150472,0
13,0.05,Anytime,1,362,2,0.004336425346632371,0
13,0.05,Fixed N,1,93,1,0.0163264753150472,0
13,0.05,GCC refined,1,132,1,0.0163264753150472,0
13,0.15,CG23-repeated,1,43,1,0.020222270090562367,0
13,0.15,Anytime,1,94,1,0.0163264753150472,0
13,0.15,Fixed N,1,30,1,0.020222270090562367,0
13,0.15,GCC refined,1,42,1,0.020222270090562367,0
14,0.05,CG23-repeated,1,174,2,0.02115733047919544,0
14,0.05,Anytime,1,362,2,0.012627339288316112,0
14,0.05,Fixed N,1,93,2,0.02115733047919544,0
14,0.05,GCC refined,1,162,2,0.02115733047919544,0
14,0.15,CG23-repeated,1,56,2,0.12062597964638637,0
14,0.15,Anytime,1,112,2,0.02115733047919544,0
14,0.15,Fixed N,1,30,1,0.2961256548185451,1
14,0.15,GCC refined,1,52,2,0.12062597964638637,0
15,0.05,CG23-repeated,1,134,1,0.005818401087522102,0
15,0.05,Anytime,1,271,1,0.005818401087522102,0
15,0.05,Fixed N,1,93,2,0.015601110461366577,0
15,0.05,GCC refined,1,132,1,0.005818401087522102,0
15,0.15,CG23-repeated,1,56,1,0.022076190165935438,0
15,0.15,Anytime,1,112,2,0.015601110461366577,0
15,0.15,Fixed N,1,30,2,0.08163779712081233,0
15,0.15,GCC refined,1,52,2,0.061123216308019854,0
16,0.05,CG23-repeated,1,174,2,0.005346917581194733,0
16,0.05,Anytime,1,362,2,0.004414173938861999,0
16,0.05,Fixed N,1,93,2,0.008805014550724022,0
16,0.05,GCC refined,1,162,2,0.005346917581194733,0
16,0.15,CG23-repeated,1,43,1,0.05453409782853522,0
16,0.15,Anytime,1,112,2,0.008805014550724022,0
16,0.15,Fixed N,1,30,2,0.08077983737056271,0
16,0.15,GCC refined,1,42,1,0.05453409782853522,0
17,0.05,CG23-repeated,1,174,2,0.014968004073736399,0
17,0.05,Anytime,1,362,2,0.006577500843345244,0
17,0.05,Fixed N,1,93,2,0.01613712561663981,0
17,0.05,GCC refined,1,162,2,0.01613712561663981,0
17,0.15,CG23-repeated,1,43,1,0.037547733998276926,0
17,0.15,Anytime,1,112,2,0.01613712561663981,0
17,0.15,Fixed N,1,30,1,0.037547733998276926,0
17,0.15,GCC refined,1,42,1,0.037547733998276926,0
18,0.05,CG23-repeated,1,174,2,0.03652806827419794,0
18,0.05,Anytime,1,362,2,0.005171969317270272,0
18,0.05,Fixed N,1,93,2,0.0617843046506847,1
18,0.05,GCC refined,1,162,2,0.03652806827419794,0
18,0.15,CG23-repeated,1,43,1,0.08952884910163161,0
18,0.15,Anytime,1,112,2,0.05850572756189364,0
18,0.15,Fixed N,1,30,2,0.1175480028030727,0
18,0.15,GCC refined,1,42,1,0.08952884910163161,0
19,0.05,CG23-repeated,1,134,1,0.012558062165080161,0
19,0.05,Anytime,1,362,2,0.00042817068008815486,0
19,0.05,Fixed N,1,93,2,0.025609425058917196,0
19,0.05,GCC refined,1,132,1,0.012558062165080161,0
19,0.15,CG23-repeated,1,56,2,0.061881474687785244,0
19,0.15,Anytime,1,112,2,0.025609425058917196,0
19,0.15,Fixed N,1,30,2,0.061004919848496396,0
19,0.15,GCC refined,1,52,2,0.061881474687785244,0
20,0.05,CG23-repeated,1,174,2,0.009426140275975367,0
